"table_schema","table_name","table_size","table_size_p","indexes_size","indexes_size_p","total_size","total_size_p","row_count_approx","last_analyze","row_count_exact"
dwh_dds,acc_transaction_1_prt_256_2021_02_04,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_dds,acc_transaction_1_prt_10_2019_01_28,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:16,0
dwh_dds,acc_transaction_1_prt_18_2019_02_21,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:16,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_126_2020_01_11,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_181_2020_06_24,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:19,0
dwh_dds,acc_transaction_1_prt_152_2020_03_29,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_34_2019_04_10,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_343_2021_10_23,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_335_2021_09_29,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_275_2021_04_02,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_108_2019_11_18,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_58_2019_06_21,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_117_2019_12_15,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_307_2021_07_07,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_282_2021_04_23,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_dds,acc_transaction_1_prt_84_2019_09_07,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_25_2019_03_14,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_360_2021_12_13,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_dds,acc_transaction_1_prt_79_2019_08_23,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_274_2021_03_30,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_145_2020_03_08,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_181_2020_06_24,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_116_2019_12_12,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_35_2019_04_13,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_293_2021_05_26,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:38,0
dwh_dds,acc_transaction_1_prt_105_2019_11_09,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:17,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_282_2021_04_23,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_281_2021_04_20,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:55:37,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_364_2021_12_25,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,acc_transaction_1_prt_115_2019_12_09,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_dds,acc_transaction_1_prt_127_2020_01_14,294912,"288 kB",1179648,"1152 kB",1474560,"1440 kB",0,2020-12-12 05:54:18,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_2_2019_01_04,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_bckp,s01_led_acc_det_bkp_1_prt_305_2021_07_01,0,"0 bytes",1474560,"1440 kB",1474560,"1440 kB",0,,0
dwh_dds,deal_credit_rate_pcndtl_tblval,1409024,"1376 kB",0,"0 bytes",1409024,"1376 kB",8841,2020-11-05 12:22:05,8842
dwh_dds,dict_rating_value,262144,"256 kB",1114112,"1088 kB",1376256,"1344 kB",74,2020-12-12 05:06:35,74
dwh_draft,test2,262144,"256 kB",1114112,"1088 kB",1376256,"1344 kB",1000,2020-10-26 10:56:53,1000
dwh_stage,s01_e_bnkdeal,819200,"800 kB",557056,"544 kB",1376256,"1344 kB",1547,2020-12-12 02:12:37,1547
dwh_stage,s01_sk_issuecode,262144,"256 kB",1114112,"1088 kB",1376256,"1344 kB",679,2020-12-12 02:00:26,679
dwh_stage,s01_t_bal_1_prt_no_flzo_2_prt_77_2006_05_01,753664,"736 kB",557056,"544 kB",1310720,"1280 kB",6137,2020-12-08 01:13:14,6137
dwh_polygon,ref_address_dar,1310720,"1280 kB",0,"0 bytes",1310720,"1280 kB",1,2020-11-27 16:59:35,1349
dwh_dm,dm_doc_payment_1_prt_52,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_122,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_114,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_89,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_66,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_83,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_140,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:46,0
dwh_dm,dm_doc_payment_1_prt_134,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_62,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_108,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
dwh_dm,dm_doc_payment_1_prt_118,294912,"288 kB",884736,"864 kB",1179648,"1152 kB",0,2020-11-18 10:48:45,0
